unique_id,ds,y
T353,1905-07-01 12:00:00,2261.0
T353,1905-08-01 12:00:00,2715.0
T353,1905-09-01 12:00:00,2534.0
T353,1905-10-01 12:00:00,15900.0
T353,1905-11-01 12:00:00,2383.0
T353,1905-12-01 12:00:00,2535.0
T353,1906-01-01 12:00:00,2968.0
T353,1906-02-01 12:00:00,2504.0
T353,1906-03-01 12:00:00,2838.0
T353,1906-04-01 12:00:00,2420.0
T353,1906-05-01 12:00:00,2411.0
T353,1906-06-01 12:00:00,2457.0
T353,1906-07-01 12:00:00,2810.0
T353,1906-08-01 12:00:00,3104.0
T353,1906-09-01 12:00:00,2907.0
T353,1906-10-01 12:00:00,3094.0
T353,1906-11-01 12:00:00,2862.0
T353,1906-12-01 12:00:00,3158.0
T353,1907-01-01 12:00:00,3255.0
T353,1907-02-01 12:00:00,2921.0
T353,1907-03-01 12:00:00,3160.0
T353,1907-04-01 12:00:00,2897.0
T353,1907-05-01 12:00:00,2970.0
T353,1907-06-01 12:00:00,2873.0
T353,1907-07-01 12:00:00,3628.0
T353,1907-08-01 12:00:00,3637.0
T353,1907-09-01 12:00:00,3334.0
T353,1907-10-01 12:00:00,3102.0
T353,1907-11-01 12:00:00,3151.0
T353,1907-12-01 12:00:00,2979.0
T353,1908-01-01 12:00:00,2810.0
T353,1908-02-01 12:00:00,2345.0
T353,1908-03-01 12:00:00,2254.0
T353,1908-04-01 12:00:00,1961.0
T353,1908-05-01 12:00:00,1771.0
T353,1908-06-01 12:00:00,2008.0
T353,1908-07-01 12:00:00,2143.0
T353,1908-08-01 12:00:00,2498.0
T353,1908-09-01 12:00:00,2528.0
T353,1908-10-01 12:00:00,2338.0
T353,1908-11-01 12:00:00,2245.0
T353,1908-12-01 12:00:00,2695.0
T353,1909-01-01 12:00:00,2488.0
T353,1909-02-01 12:00:00,2436.0
T353,1909-03-01 12:00:00,2879.0
T353,1909-04-01 12:00:00,2397.0
T353,1909-05-01 12:00:00,2412.0
T353,1909-06-01 12:00:00,2840.0
T353,1909-07-01 12:00:00,3100.0
T353,1909-08-01 12:00:00,3036.0
T353,1909-09-01 12:00:00,3147.0
T353,1909-10-01 12:00:00,2965.0
T353,1909-11-01 12:00:00,3359.0
T353,1909-12-01 12:00:00,3209.0
T353,1910-01-01 12:00:00,3040.0
T353,1910-02-01 12:00:00,2720.0
T353,1910-03-01 12:00:00,3539.0
T353,1910-04-01 12:00:00,2970.0
T353,1910-05-01 12:00:00,2550.0
T353,1910-06-01 12:00:00,2721.0
T353,1910-07-01 12:00:00,3068.0
T353,1910-08-01 12:00:00,3650.0
T353,1910-09-01 12:00:00,3190.0
T353,1910-10-01 12:00:00,3286.0
T353,1910-11-01 12:00:00,3418.0
T353,1910-12-01 12:00:00,3252.0
T353,1911-01-01 12:00:00,3105.0
T353,1911-02-01 12:00:00,2680.0
T353,1911-03-01 12:00:00,2995.0
T353,1911-04-01 12:00:00,2526.0
T353,1911-05-01 12:00:00,2830.0
T353,1911-06-01 12:00:00,2747.0
T353,1911-07-01 12:00:00,2683.0
T353,1911-08-01 12:00:00,3118.0
T353,1911-09-01 12:00:00,3206.0
T353,1911-10-01 12:00:00,3561.0
T353,1911-11-01 12:00:00,3074.0
T353,1911-12-01 12:00:00,3197.0
T353,1912-01-01 12:00:00,3164.0
T353,1912-02-01 12:00:00,2780.0
T353,1912-03-01 12:00:00,3282.0
T353,1912-04-01 12:00:00,2755.0
T353,1912-05-01 12:00:00,2770.0
T353,1912-06-01 12:00:00,2468.0
T353,1912-07-01 12:00:00,3546.0
T353,1912-08-01 12:00:00,3857.0
T353,1912-09-01 12:00:00,3882.0
T353,1912-10-01 12:00:00,4705.0
T353,1912-11-01 12:00:00,3325.0
T353,1912-12-01 12:00:00,3788.0
T353,1913-01-01 12:00:00,3526.0
T353,1913-02-01 12:00:00,2999.0
T353,1913-03-01 12:00:00,3156.0
T353,1913-04-01 12:00:00,2894.0
T353,1913-05-01 12:00:00,2645.0
T353,1913-06-01 12:00:00,2752.0
T353,1913-07-01 12:00:00,3626.0
T353,1913-08-01 12:00:00,3910.0
T353,1913-09-01 12:00:00,4430.0
T353,1913-10-01 12:00:00,3368.0
T353,1913-11-01 12:00:00,3515.0
T353,1913-12-01 12:00:00,4462.0
T353,1914-01-01 12:00:00,3900.0
T353,1914-02-01 12:00:00,3564.0
T353,1914-03-01 12:00:00,3984.0
T353,1914-04-01 12:00:00,3408.0
T353,1914-05-01 12:00:00,3293.0
T353,1914-06-01 12:00:00,3459.0
T353,1914-07-01 12:00:00,3981.0
T353,1914-08-01 12:00:00,2864.0
T353,1914-09-01 12:00:00,3002.0
T353,1914-10-01 12:00:00,3225.0
T353,1914-11-01 12:00:00,3186.0
T353,1914-12-01 12:00:00,2842.0
T353,1915-01-01 12:00:00,2903.0
T353,1915-02-01 12:00:00,2380.0
T353,1915-03-01 12:00:00,2637.0
T353,1915-04-01 12:00:00,2173.0
T353,1915-05-01 12:00:00,2043.0
T353,1915-06-01 12:00:00,2365.0
T353,1915-07-01 12:00:00,2115.0
T353,1915-08-01 12:00:00,2467.0
T353,1915-09-01 12:00:00,2310.0
T353,1915-10-01 12:00:00,2395.0
T353,1915-11-01 12:00:00,2675.0
T353,1915-12-01 12:00:00,2714.0
T353,1916-01-01 12:00:00,2322.0
T353,1916-02-01 12:00:00,2610.0
T353,1916-03-01 12:00:00,2936.0
T353,1916-04-01 12:00:00,2632.0
T353,1916-05-01 12:00:00,3008.0
T353,1916-06-01 12:00:00,3370.0
T353,1916-07-01 12:00:00,2726.0
T353,1916-08-01 12:00:00,3263.0
T353,1916-09-01 12:00:00,2813.0
T353,1916-10-01 12:00:00,2993.0
T353,1916-11-01 12:00:00,2870.0
T353,1916-12-01 12:00:00,3291.0
T353,1917-01-01 12:00:00,3489.0
T353,1917-02-01 12:00:00,2840.0
T353,1917-03-01 12:00:00,3518.0
T353,1917-04-01 12:00:00,3092.0
T353,1917-05-01 12:00:00,3027.0
T353,1917-06-01 12:00:00,4019.0
T353,1917-07-01 12:00:00,3137.0
T353,1917-08-01 12:00:00,3034.0
T353,1917-09-01 12:00:00,2956.0
T353,1917-10-01 12:00:00,2908.0
T353,1917-11-01 12:00:00,3329.0
T353,1917-12-01 12:00:00,3517.0
T353,1918-01-01 12:00:00,2863.0
T353,1918-02-01 12:00:00,2648.0
T353,1918-03-01 12:00:00,3798.0
T353,1918-04-01 12:00:00,3614.0
T353,1918-05-01 12:00:00,3862.0
T353,1918-06-01 12:00:00,3075.0
T353,1918-07-01 12:00:00,2928.0
T353,1918-08-01 12:00:00,3849.0
T353,1918-09-01 12:00:00,3835.0
T353,1918-10-01 12:00:00,3298.0
T353,1918-11-01 12:00:00,3457.0
T353,1918-12-01 12:00:00,3244.0
T353,1919-01-01 12:00:00,3433.0
T353,1919-02-01 12:00:00,3001.0
T353,1919-03-01 12:00:00,3004.0
T353,1919-04-01 12:00:00,2655.0
T353,1919-05-01 12:00:00,3361.0
T353,1919-06-01 12:00:00,3256.0
T353,1919-07-01 12:00:00,3707.0
T353,1919-08-01 12:00:00,3525.0
T353,1919-09-01 12:00:00,5448.0
T353,1919-10-01 12:00:00,5362.0
T353,1919-11-01 12:00:00,6237.0
T353,1919-12-01 12:00:00,6288.0
T353,1920-01-01 12:00:00,6533.0
T353,1920-02-01 12:00:00,6280.0
T353,1920-03-01 12:00:00,7298.0
T353,1920-04-01 12:00:00,7684.0
T353,1920-05-01 12:00:00,7435.0
T353,1920-06-01 12:00:00,8728.0
T353,1920-07-01 12:00:00,8886.0
T353,1920-08-01 12:00:00,8670.0
T353,1920-09-01 12:00:00,7376.0
T353,1920-10-01 12:00:00,6839.0
T353,1920-11-01 12:00:00,6417.0
T353,1920-12-01 12:00:00,5526.0
T353,1921-01-01 12:00:00,5124.0
T353,1921-02-01 12:00:00,4482.0
T353,1921-03-01 12:00:00,5592.0
T353,1921-04-01 12:00:00,5342.0
T353,1921-05-01 12:00:00,5171.0
T353,1921-06-01 12:00:00,4978.0
T353,1921-07-01 12:00:00,5196.0
T353,1921-08-01 12:00:00,4989.0
T353,1921-09-01 12:00:00,5391.0
T353,1921-10-01 12:00:00,5167.0
T353,1921-11-01 12:00:00,5338.0
T353,1921-12-01 12:00:00,5133.0
T353,1922-01-01 12:00:00,4980.0
T353,1922-02-01 12:00:00,4938.0
T353,1922-03-01 12:00:00,5988.0
T353,1922-04-01 12:00:00,5082.0
T353,1922-05-01 12:00:00,5827.0
T353,1922-06-01 12:00:00,5745.0
T353,1922-07-01 12:00:00,4948.0
T353,1922-08-01 12:00:00,5586.0
T353,1922-09-01 12:00:00,5404.0
T353,1922-10-01 12:00:00,7175.0
T353,1922-11-01 12:00:00,5831.0
T353,1922-12-01 12:00:00,5267.0
T353,1923-01-01 12:00:00,6394.0
