unique_id,ds,AutoETS,AutoTheta,Naive,SeasonalNaive,CatBoostRegressor,PatchTST,AutoETS_Standard,AutoTheta_Standard,Naive_Standard,SeasonalNaive_Standard,CatBoostRegressor_Standard,PatchTST_Standard,AutoETS_Robust,AutoTheta_Robust,Naive_Robust,SeasonalNaive_Robust,CatBoostRegressor_Robust,PatchTST_Robust,AutoETS_QuantileTransformer,AutoTheta_QuantileTransformer,Naive_QuantileTransformer,SeasonalNaive_QuantileTransformer,CatBoostRegressor_QuantileTransformer,PatchTST_QuantileTransformer
T10288,2015-06-01 12:00:00,1991.6772,1967.497,1992.9,1710.5,1918.4889000332623,1979.2539,1991.1736,1966.8362,1992.9001,1710.5,1918.487848975174,2017.2285,1992.897,1966.836,1992.9,1710.5,1918.4875847196322,2028.1841,1992.8944,1973.7825,1992.9,1710.5,1954.7560163095488,1970.3182
T10288,2015-07-01 12:00:00,1991.6772,1965.1971,1992.9,1705.5,1922.2235772735148,1949.1136,1991.1736,1967.3433,1992.9001,1705.5,1922.2225042879722,2035.0591,1992.897,1967.3433,1992.9,1705.5,1922.2222333275176,2021.6471,1992.8944,1971.0164,1992.9,1705.5,1913.0644017382324,1969.1649
T10288,2015-08-01 12:00:00,1991.6772,1975.7216,1992.9,1692.5,1875.7654808438092,1936.621,1991.1736,1975.8264,1992.9001,1692.5,1875.7644390761989,2040.0813,1992.897,1975.8263,1992.9,1692.5,1875.7641625483304,2045.7562,1992.8944,1979.8865,1992.9,1692.5,1882.3937470729938,2002.7233
T10288,2015-09-01 12:00:00,1991.6772,1990.8214,1992.9,1705.8,1863.960163427022,1928.8679,1991.1736,1987.8494,1992.9001,1705.8,1863.9590697736544,2038.7898,1992.897,1987.8495,1992.9,1705.8,1863.9587933631885,2031.8425,1992.8944,1991.1184,1992.9,1705.8,1853.4870856592133,1987.8812
T10288,2015-10-01 12:00:00,1991.6772,1978.895,1992.9,1766.3,1908.1583860418468,1926.8425,1991.1736,1977.7876,1992.9001,1766.3,1908.1572923329427,2029.2317,1992.897,1977.7875,1992.9,1766.3,1908.1569929642692,2013.6846,1992.8944,1980.4666,1992.9,1766.2999,1856.1942997650935,1981.5204
T10288,2015-11-01 12:00:00,1991.6772,1941.8801,1992.9,1784.5,1885.1726972958713,1909.9259,1991.1736,1943.842,1992.9001,1784.5,1885.1716515971693,1989.9436,1992.897,1943.8419,1992.9,1784.5,1885.171363915339,1987.6146,1992.8944,1950.4768,1992.9,1784.5,1859.8947246738721,1976.6235
T10288,2015-12-01 12:00:00,1991.6772,1926.4397,1992.9,1818.3,1879.6532907983928,1892.7335,1991.1736,1930.7944,1992.9001,1818.3,1879.6522427512718,1998.3186,1992.897,1930.7944,1992.9,1818.3,1879.6519605735607,2008.0294,1992.8944,1937.4187,1992.9,1818.2999,1861.079883497705,1919.5405
T10288,2016-01-01 12:00:00,1991.6772,1895.3903,1992.9,1769.5,1869.4082105657726,1889.795,1991.1736,1901.7051,1992.9001,1769.5,1869.4071227251106,1969.0027,1992.897,1901.7053,1992.9,1769.5,1869.406831884979,1968.1511,1992.8944,1906.961,1992.9,1769.5,1850.3761170724263,1920.0961
T10288,2016-02-01 12:00:00,1991.6772,1892.39,1992.9,1861.3,1879.6532907983928,1871.172,1991.1736,1899.8032,1992.9001,1861.3,1879.6522427512718,1930.3022,1992.897,1899.8031,1992.9,1861.3002,1879.6519605735607,1927.4779,1992.8944,1907.0985,1992.9,1861.3,1861.6286406050447,1946.9606
T10288,2016-03-01 12:00:00,1991.6772,1926.4589,1992.9,1850.8,1879.6532907983928,1892.1573,1991.1736,1931.5659,1992.9001,1850.8,1879.6522427512718,1956.491,1992.897,1931.566,1992.9,1850.8,1879.6519605735607,1953.0338,1992.8944,1937.732,1992.9,1850.8,1861.0050916755472,1913.9772
T10288,2016-04-01 12:00:00,1991.6772,1947.8673,1992.9,1962.5,1895.435367425409,1908.5844,1991.1736,1950.572,1992.9001,1962.5,1895.4344426713988,1960.0581,1992.897,1950.5719,1992.9,1962.5001,1895.4341293857144,1964.1235,1992.8944,1959.5881,1992.9,1962.5,1874.3374578284916,1920.3075
T10288,2016-05-01 12:00:00,1991.6772,1993.5112,1992.9,1992.9,1905.380669852224,1928.0872,1991.1736,1993.3127,1992.9001,1992.9001,1905.3797670056542,1954.1575,1992.897,1993.3126,1992.9,1992.9,1905.3794535377235,1966.4242,1992.8944,1992.3894,1992.9,1992.9,1881.8264379671748,1976.3666
T10288,2016-06-01 12:00:00,1991.6772,1967.497,1992.9,1710.5,1902.6935670575767,1891.273,1991.1736,1966.8362,1992.9001,1710.5,1902.6925906700385,1963.9575,1992.897,1966.836,1992.9,1710.5,1902.6923066398824,1965.3079,1992.8944,1973.7074,1992.9,1710.5,1881.8264379671748,1938.2164
T10288,2016-07-01 12:00:00,1991.6772,1965.1971,1992.9,1705.5,1902.6935670575767,1899.5792,1991.1736,1967.3433,1992.9001,1705.5,1902.6925906700385,1963.1367,1992.897,1967.3433,1992.9,1705.5,1902.6923066398824,1947.9493,1992.8944,1970.9414,1992.9,1705.5,1881.4863712608183,1959.2837
T10288,2016-08-01 12:00:00,1991.6772,1975.7216,1992.9,1692.5,1900.945812602964,1881.4038,1991.1736,1975.8264,1992.9001,1692.5,1900.9448256996602,1978.0786,1992.897,1975.8263,1992.9,1692.5,1900.9445391066206,1979.9642,1992.8944,1979.7542,1992.9,1692.5,1869.7690372676445,1973.1051
T10288,2016-09-01 12:00:00,1991.6772,1990.8214,1992.9,1705.8,1889.5985932252079,1876.7566,1991.1736,1987.8494,1992.9001,1705.8,1889.5975670855269,1983.3132,1992.897,1987.8495,1992.9,1705.8,1889.5972847255698,1986.1814,1992.8944,1991.0597,1992.9,1705.8,1869.7690372676445,2003.7915
T10288,2016-10-01 12:00:00,1991.6772,1978.895,1992.9,1766.3,1892.7482646307617,1894.516,1991.1736,1977.7876,1992.9001,1766.3,1892.747266335783,1983.4458,1992.897,1977.7875,1992.9,1766.3,1892.7469824878733,1982.6826,1992.8944,1980.4423,1992.9,1766.2999,1869.7690372676445,1980.7059
T10288,2016-11-01 12:00:00,1991.6772,1941.8801,1992.9,1784.5,1891.000510176149,1865.3583,1991.1736,1943.842,1992.9001,1784.5,1890.9995013654052,1953.5713,1992.897,1943.8419,1992.9,1784.5,1890.9992149546117,1973.4465,1992.8944,1950.268,1992.9,1784.5,1869.7690372676445,1999.875
T10864,2015-07-01 12:00:00,1958.2784,1955.0475,1960.0,1890.0,1941.5560030690103,1964.1956,1958.6885,1955.093,1960.0,1890.0,1941.5550402757813,1967.242,1957.9232,1955.0928,1960.0,1890.0,1941.5547452190435,1968.8213,1959.5383,1958.6238,1960.0,1889.9999,1939.2904928790845,1948.9811
T10864,2015-08-01 12:00:00,1956.3416,1953.976,1960.0,1896.0,1941.5560030690103,1945.3683,1958.1472,1954.0703,1960.0,1896.0,1941.5550402757813,1959.3662,1957.0077,1954.0702,1960.0,1896.0,1941.5547452190435,1956.7422,1955.8237,1956.7118,1960.0,1895.9999,1922.5901444339784,1939.6344
T10864,2015-09-01 12:00:00,1959.2291,1963.3397,1960.0,1909.0,1943.303757523623,1936.2803,1960.4932,1963.1077,1960.0,1909.0,1943.302805246159,1949.594,1960.5204,1963.1075,1960.0,1909.0,1943.3025127523051,1953.7296,1959.2539,1964.4495,1960.0,1908.9999,1937.8786910404658,1948.7201
T10864,2015-10-01 12:00:00,1970.3556,1976.6146,1960.0,1930.0,1945.9908603182703,1935.0585,1971.5396,1976.0518,1960.0,1930.0,1945.9899815817748,1954.0474,1973.6539,1976.0518,1960.0,1930.0,1945.9896596501462,1956.097,1967.1436,1973.0691,1960.0,1930.0,1937.8786910404658,1948.4996
T10864,2015-11-01 12:00:00,1976.4319,1978.191,1960.0,1947.0,1945.9908603182703,1942.4974,1980.0718,1977.4492,1960.0,1947.0,1945.9899815817748,1959.2441,1983.2053,1977.4491,1960.0,1947.0001,1945.9896596501462,1959.5618,1971.7942,1974.9641,1960.0,1947.0,1937.8786910404658,1959.5078
T10864,2015-12-01 12:00:00,1987.3121,1985.2322,1960.0,1981.0,1945.9908603182703,1946.5762,1993.019,1984.0835,1960.0,1981.0,1945.9899815817748,1958.0376,1995.9486,1984.0831,1960.0,1981.0,1945.9896596501462,1960.7632,1986.7389,1980.9691,1960.0,1981.0,1937.8786910404658,1962.809
T10864,2016-01-01 12:00:00,1942.4298,1942.234,1960.0,1938.0,1945.9908603182703,1932.3954,1945.7068,1942.7703,1960.0,1938.0,1945.9899815817748,1949.0085,1948.9916,1942.7701,1960.0,1938.0,1945.9896596501462,1955.9532,1939.5345,1939.4635,1960.0,1938.0,1937.8908449142539,1939.0411
T10864,2016-02-01 12:00:00,1940.5519,1947.9674,1960.0,1919.0,1943.303757523623,1925.5817,1938.4434,1948.2744,1960.0,1919.0,1943.302805246159,1937.645,1943.5238,1948.2743,1960.0,1918.9999,1943.3025127523051,1940.806,1937.6106,1948.2129,1960.0,1919.0,1937.8908449142539,1937.527
T10864,2016-03-01 12:00:00,1940.053,1945.6725,1960.0,1960.0,1945.9908603182703,1921.6312,1936.3323,1946.0652,1960.0,1960.0,1945.9899815817748,1931.0215,1942.3881,1946.0651,1960.0,1960.0,1945.9896596501462,1932.6774,1936.7804,1945.3206,1960.0,1960.0,1937.8908449142539,1937.415
T10864,2016-04-01 12:00:00,1945.5952,1947.9009,1960.0,1948.0,1945.9908603182703,1926.0664,1937.0693,1948.3525,1960.0,1948.0,1945.9899815817748,1937.7815,1945.3649,1948.3524,1960.0,1948.0,1945.9896596501462,1938.338,1941.6925,1948.1827,1960.0,1948.0,1937.8908449142539,1930.6068
T10864,2016-05-01 12:00:00,1959.3083,1956.2837,1960.0,1960.0,1945.9908603182703,1936.4381,1951.4697,1956.3379,1960.0,1960.0,1945.9899815817748,1942.3359,1960.2375,1956.3375,1960.0,1960.0,1945.9896596501462,1945.5387,1959.8958,1958.7996,1960.0,1960.0,1937.8908449142539,1937.7354
T10864,2016-06-01 12:00:00,1960.4272,1960.4532,1960.0,1960.0,1945.9908603182703,1944.1635,1951.6553,1960.342,1960.0,1960.0,1945.9899815817748,1944.0688,1960.195,1960.3419,1960.0,1960.0,1945.9896596501462,1948.1517,1960.1566,1960.8348,1960.0,1960.0,1937.8908449142539,1954.9059
T10864,2016-07-01 12:00:00,1958.2784,1955.0475,1960.0,1890.0,1945.9908603182703,1933.878,1950.2249,1955.0818,1960.0,1890.0,1945.9899815817748,1942.97,1958.0498,1955.0818,1960.0,1890.0,1945.9896596501462,1943.4893,1959.5383,1958.6484,1960.0,1889.9999,1937.8908449142539,1941.3096
T10864,2016-08-01 12:00:00,1956.3416,1953.976,1960.0,1896.0,1945.9908603182703,1930.1813,1949.6836,1954.0593,1960.0,1896.0,1945.9899815817748,1934.9526,1957.1095,1954.0592,1960.0,1896.0,1945.9896596501462,1934.4565,1955.8237,1956.7367,1960.0,1895.9999,1937.8908449142539,1935.4188
T10864,2016-09-01 12:00:00,1959.2291,1963.3397,1960.0,1909.0,1945.9908603182703,1921.1895,1952.0295,1963.0967,1960.0,1909.0,1945.9899815817748,1934.7334,1960.6023,1963.0967,1960.0,1909.0,1945.9896596501462,1936.7098,1959.2539,1964.4622,1960.0,1908.9999,1937.8908449142539,1938.3625
